Diagnosis,Treatment,70,80,90,
d2,Alk8000_11999,0.06583439514135885,0.07841810906488512,0.09275012661045615,
d2,Alk12000+,0.14397432302923419,0.16443394097499553,0.05773047046968484,
d3,AlkNone,0.48818582307051794,0.41084487766845845,0.27675805021156485,
d3,Alk<4000,0.03158588725058675,0.042514326280167866,0.10969491549275232,
d3,Alk4000_7999,0.08686219355113153,0.18079171576389347,0.45959163532806785,
d3,Alk8000_11999,0.16101347040447125,0.19417003576093897,0.09505082212974333,
d3,Alk12000+,0.2323526257232926,0.17167904452654095,0.05890457683787117,
d4,AlkNone,0.20226595980644746,0.06335812769104449,0.08864600417199174,
d4,Alk<4000,0.14535934686953852,0.22475835888806694,0.2531452192939335,
d4,Alk4000_7999,0.13484530611801043,0.284800356328473,0.40601908138692694,
d4,Alk8000_11999,0.2061430947623243,0.21311922161471122,0.18600590651283536,
d4,Alk12000+,0.3113862924436792,0.21396393547770426,0.06618378863431211,
d5,AlkNone,0.9044658157482275,0.8459229546019315,0.8870089807000141,
d5,Alk<4000,0.008773832432250743,0.019640982050492386,0.022029782864908032,
d5,Alk4000_7999,0.012184890652526936,0.02087361138716532,0.01594734277480281,
d5,Alk8000_11999,0.024954894176555102,0.04369626454311623,0.02143265310444424,
d5,Alk12000+,0.049620566990444065,0.06986618741729435,0.053581240555831404,
d6,AlkNone,0.6316527178103264,0.40877752533652517,0.13957827114291654,
d6,Alk<4000,0.042709238856728934,0.09867182177804386,0.05067383927991157,
d6,Alk4000_7999,0.09613909586501264,0.06208854775502947,0.1439626409321684,
d6,Alk8000_11999,0.08696727319231197,0.17720776365133561,0.3228355232533484,
d6,Alk12000+,0.1425316742756213,0.2532543414790654,0.3429497253916549,
d7,AlkNone,0.8811063942417264,0.7712396558381742,0.7438333176697763,
d7,Alk<4000,0.013260737007144849,0.00865758295411037,0.0221421511852721,
d7,Alk4000_7999,0.0010813623475771092,0.022212612933467844,0.042017124126776786,
d7,Alk8000_11999,0.04771827108622789,0.07428566535691912,0.05589427451646612,
d7,Alk12000+,0.05683323531732307,0.12360448291732903,0.13611313250170806,
d8,AlkNone,0.3753661526619969,0.3453801201835292,0.18344158666260565,
d8,Alk<4000,0.053023834399722546,0.05270203266549125,0.03540299525481966,
d8,Alk4000_7999,0.082627962235818,0.08908925074254423,0.034692644948057065,
d8,Alk8000_11999,0.08777183147929003,0.13826048495179724,0.09117170138749824,
d8,Alk12000+,0.40121021922317324,0.37456811145663893,0.6552910717470194,
d9,AlkNone,0.0621625840420985,0.030655567071029153,0.0010230088163850882,
d9,Alk<4000,0.044296450580273726,0.026362632194049693,0.035469812977892395,
d9,Alk4000_7999,0.09027186256061154,0.05854860135258475,0.05181519421419293,
d9,Alk8000_11999,0.13846627156082517,0.20539895286468574,0.07437706644372949,
d9,Alk12000+,0.6648028312561907,0.6790342465176518,0.8373149175478,
d10,AlkNone,0.5335305844841143,0.3311982694749247,0.31592172999777857,
d10,Alk<4000,0.07933143401198868,0.1756901749408979,0.11053028878850424,
d10,Alk4000_7999,0.2992593141054431,0.4080852297008317,0.11698403317855845,
d10,Alk8000_11999,0.056619058473867064,0.04935133363442619,0.21693505257191822,
d10,Alk12000+,0.03125960892458766,0.03567499224891876,0.23962889546323993,
d11,AlkNone,0.8856253489283538,0.588701837732921,0.07044679244075853,
d11,Alk<4000,0.0,0.07188339224955569,0.019128266940560287,
d11,Alk4000_7999,0.0,0.03525421907659101,0.020019871616982175,
d11,Alk8000_11999,0.056367232001404845,0.18280647977363365,0.07263505255366622,
d11,Alk12000+,0.05800741907023609,0.12135407116729983,0.8177700164480283,
d12,AlkNone,0.9585583327064484,0.9014180839227401,0.8601752905468206,
d12,Alk<4000,0.013713392032228013,0.022767444743595336,0.019740398045033816,
d12,Alk4000_7999,0.01599991619380772,0.039477661021320394,0.031713408610902896,
d12,Alk8000_11999,0.002983102423869997,0.008526650756074968,0.033679309912224606,
d12,Alk12000+,0.008745256643655176,0.0278101595562697,0.0546915928850137,
d13,AlkNone,0.41974303234509386,0.45872582447570504,0.4081405421786706,
d13,Alk<4000,0.06173162861631669,0.08843340797301302,0.1489278492308585,
d13,Alk4000_7999,0.11502407486064992,0.2059686796718053,0.19940555023784182,
d13,Alk8000_11999,0.08964152468944409,0.08922290912531966,0.058074181864455544,
d13,Alk12000+,0.31385973948849566,0.1576491787541572,0.1854518764881739,
-1,CispNone,0.9885220386729625,0.9104639790972305,0.899985667481159,
-1,Cisp<400,0.0059087824947247495,0.03794403626082063,0.05437320705712136,
-1,Cisp400+,0.005569178832312351,0.051591984641949036,0.04564112546171902,
g0,CispNone,0.9919103520749724,0.8252497202593396,0.7727188767031521,
g0,Cisp<400,0.004409247950502074,0.07710954801570255,0.12871460387972908,
g0,Cisp400+,0.003680399974514036,0.09764073172495799,0.09856651941711855,
g1,CispNone,0.9212042221805096,0.5778797410992039,0.5788084564236972,
g1,Cisp<400,0.03442878541780442,0.11857872509746298,0.16743976680098102,
g1,Cisp400+,0.04436699240168997,0.30354153380333265,0.253751776775323,
g2,CispNone,0.9912506836846585,0.8274210441431796,0.967714944830805,
